Prompt,Input,Output,Type
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh okay. Well the Schnauzer I'm I'm watching for one of uh the managers where I work and he's been transferred to Germany for a while and I'm taking care of his dog and uh and I had just got the kitten when he asked me that and he says well my dog doesn't like cats and I said well we won't tell him it's a c- we won't tell her it's a cat because it was a kitten and you know they just they just love kittens. They just are fascinated. So she doesn't know that this is a cat yet.,Oh <sil> okay. Well <sil> the Schnauzer I'm <sil> I'm watching for one of <sil> uh <sil> the managers where I work and he's been transferred to Germany for a while and I'm taking care of his dog and <sil> uh <sil> and I had just got the kitten when he asked me that and he says <sil> well <sil> my dog doesn't like cats <sil> and I said <sil> well <sil> we won't tell him it's a c- <sil> we won't tell her it's a cat <sil> because it was a kitten <sil> and <sil> you know <sil> they just <sil> they just love kittens. They just are fascinated. So she doesn't know that this is a cat yet.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and uh uh uh uh her husband is in the navy,and uh uh the other one is uh uh her husband is in the m- navy,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh go- that's not music that is not I don't know what that is but that's not music.,Oh <sil> go- <sil> that's not music <sil> that is not <sil> I don't know what that is <sil> but that's not music.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and you know go like our uh,and you know go like our our uh,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",when i'm home sometimes in the day i'll watch them but yeah uh oh i was really trying to think,when when i'm home sometimes in the day i'll i'll watch them but yeah uh oh i i was really trying to think,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",I just recently quit. And so uh I got myself involved in a sales job and right now my list of books to be read have to do with uh the art of selling.,I just recently quit. And so <sil> uh <sil> I got myself involved in a sales job <sil> and right now <sil> my list of books to be read have to do with <sil> uh <sil> the art of selling.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and we have still have to spray some,and we we ha- we have still have to spray some,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Well I have three and uh they're five and three and nineteen months. So we kind of got different ball game but uh.,Well <sil> I have three <sil> and <sil> uh <sil> they're five and three and nineteen months. So we kind of got different ball game but <sil> uh.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Ri- Oh but yeah takes a lot of time.,Ri- <sil> Oh <sil> but <sil> yeah <sil> takes a lot of time.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i play,i i play,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and here's a calculator,and here's where here's a calculator,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",um um i'm making some uh,um i um i'm making some uh,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah. I've done some um cross stitch but I never count right and I always have to either take it out or have my picture slightly off centered or something. It never has worked out completely. Right.,Yeah. I've done some um <sil> cross stitch <sil> but I never count right <sil> and I always have to either take it out or have my picture slightly off centered or something. It never has worked out completely. Right.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and he was a professional athlete,and he's he was a professional athlete,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and we were living in utah at the time,and we were f- we were living in utah at the time,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well that's what happened in other country though,well that that's what happened in other country though,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",he'll come home though i he when he was shooting in the hundreds,he he'll come home though and i mean he'll shoot when he was shooting in the hundreds,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's got people singing,it's it's got people singing,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",personally i like mostly um,i personally i like mostly um,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",are you on a regular exercise program right now,do you are you on a regul- regular exercise program right now,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",to eliminate crime as we know it today is to eliminate the criminals from society.,to eliminate crime <sil> as we know it today is to eliminate the criminals from society.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and well i mean all the chips that make up the hardware are a commodity,and the hardware well i mean all the chips that make up the hardware are a commodity,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",so why am i waiting you know,so why why am i waiting you know,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",but not quite that often,but not not quite that often,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",kind of a pain to you know drive over somewhere special for two little tiny batteries,kind of a pain to you know drive over somewhere special just for that for two little tiny batteries,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh I know.,Oh <sil> I know.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",well that's good too i mean as far as entering,well that's that's good too i mean as far as entering,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",oh they must have changed then because it used well,oh they must they must have changed then because it used well,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah uh-huh. Yeah we have a single family home in northern Virginia just outside of Washington.,Yeah <sil> uh-huh. Yeah <sil> we have a single family home in northern Virginia just outside of Washington.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",or is n't it similar to the tv guide,was n't that similar t- or is n't it similar to to the tv guide,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and smoking is it,and smoke is smoking is it,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",it's past the dent stage,it's it's past the dent stage,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Oh it's a great show.,Oh <sil> it's a great show.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",It's a research type project on uh voice activated electronics you know. To uh it's uh well they call it the speech lab that is setting this thing up.,It's a research type project on uh <sil> voice activated electronics <sil> you know. To <sil> uh <sil> it's <sil> uh well they call it the speech lab that is setting this thing up.,sil
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",Yeah uh I don't really know of anyone that's looking for colleges now you know with the exception of uh people's younger brothers and sisters. Then only advise passed down is don't go to Georgia Tech.,Yeah <sil> uh <sil> I don't really know of anyone that's looking for colleges now <sil> you know <sil> with the exception of <sil> uh <sil> people's younger brothers and sisters. Then only advise passed down is <sil> don't go to Georgia Tech.,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i think that um in the future um the family unit as it once was known is going to be nonexistent,i think that um in the future um the the family unit as it as it once was known is is going to be nonexistent,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh but she has gone down steadily since she has been in,and uh but she she has gone down steadily since she has been in,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",i've camped uh in the snow on a glacier,i've i've camped uh in the snow on a glacier,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i thought it was a mistake,and i i thought it was a mistake,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and i guess i see that as not so much a demand but a privilege,and i guess i see that as as not so much a a demand but but a privilege,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh my wife uh uh you know gets so much to do shopping with every couple of weeks,uh my wife uh has so much uh you know gets so much to do shopping with every couple of weeks,disfl
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",uh it really uh,uh it it really uh,disfl
"<<SYS>>Add silence pauses to the input.<</SYS>>
[INST]Add silence pauses[/INST]
",What does that mean accidental tomatoes?,What does that mean <sil> accidental tomatoes?,sil
"<<SYS>>Add the disfluency to the input.<</SYS>>
[INST]Add disfluency[/INST]
",and we did aerobics together for about a month and a half,and uh an- and we did aerobics together for about a month and a half,disfl
